Seed,Round,Nxt_Heat,First_name,Surname,Time,Nxt_Heat_Time
1,0,Heat 101,,,,11:15am
2,0,Heat 109,,,,11:39am
3,0,Heat 113,,,,11:51am
4,0,Heat 105,,,,11:27am
5,0,Heat 107,,,,11:33am
6,0,Heat 115,,,,11:57am
7,0,Heat 111,,,,11:45am
8,0,Heat 103,,,,11:21am
9,0,Heat 104,,,,11:24am
10,0,Heat 112,,,,11:48am
11,0,Heat 116,,,,12:00pm
12,0,Heat 108,,,,11:36am
13,0,Heat 106,,,,11:30am
14,0,Heat 114,,,,11:54am
15,0,Heat 110,,,,11:42am
16,0,Heat 102,,,,11:18am
17,0,Heat 102,,,,11:18am
18,0,Heat 110,,,,11:42am
19,0,Heat 114,,,,11:54am
20,0,Heat 106,,,,11:30am
21,0,Heat 108,,,,11:36am
22,0,Heat 116,,,,12:00pm
23,0,Heat 112,,,,11:48am
24,0,Heat 104,,,,11:24am
25,0,Heat 103,,,,11:21am
26,0,Heat 111,,,,11:45am
27,0,Heat 115,,,,11:57am
28,0,Heat 107,,,,11:33am
29,0,Heat 105,,,,11:27am
30,0,Heat 113,,,,11:51am
31,0,Heat 109,,,,11:39am
32,0,Heat 101,,,,11:15am
33,0,Heat 101,,,,11:15am
34,0,Heat 109,,,,11:39am
35,0,Heat 113,,,,11:51am
36,0,Heat 105,,,,11:27am
37,0,Heat 107,,,,11:33am
38,0,Heat 115,,,,11:57am
39,0,Heat 111,,,,11:45am
40,0,Heat 103,,,,11:21am
41,0,Heat 104,,,,11:24am
42,0,Heat 112,,,,11:48am
43,0,Heat 116,,,,12:00pm
44,0,Heat 108,,,,11:36am
45,0,Heat 106,,,,11:30am
46,0,Heat 114,,,,11:54am
47,0,Heat 110,,,,11:42am
48,0,Heat 102,,,,11:18am
49,0,Heat 102,,,,11:18am
50,0,Heat 110,,,,11:42am
51,0,Heat 114,,,,11:54am
52,0,Heat 106,,,,11:30am
53,0,Heat 108,,,,11:36am
54,0,Heat 116,,,,12:00pm
55,0,Heat 112,,,,11:48am
56,0,Heat 104,,,,11:24am
57,0,Heat 103,,,,11:21am
58,0,Heat 111,,,,11:45am
101/102-Q1,1,Heat 201,,,,2:15pm
101/102-Q2,1,Heat 201,,,,2:15pm
101/102-Q3,1,Heat 202,,,,2:18pm
101/102-Q4,1,Heat 202,,,,2:18pm
101/102-Q5,1,Heat 202,,,,2:18pm
103/104-Q1,1,Heat 203,,,,2:21pm
103/104-Q2,1,Heat 203,,,,2:21pm
103/104-Q3,1,Heat 204,,,,2:24pm
